algo,start,outcome,consent_before,consent_after,consent_delta,consent_path_before,consent_path_after,total_before,total_after,total_delta,total_path_before,total_path_after
Brute Force,BannerToast,Out_Payments,,,,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,3,3,0,BannerToast → AcceptAll → PaymentsSvc → Out_Payments,BannerToast → AcceptAll → PaymentsSvc → Out_Payments
Brute Force,BannerToast,Out_Personalized,,,,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,3,3,0,BannerToast → AcceptAll → PersonalSvc → Out_Personalized,BannerToast → AcceptAll → PersonalSvc → Out_Personalized
Brute Force,BannerToast,Out_AllContent,,,,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,3,3,0,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent,BannerToast → AcceptAll → ExtMediaSvc → Out_AllContent
Brute Force,BannerToast,ConsentSaved,1,,,BannerToast → AcceptAll → ConsentSaved,,2,,,BannerToast → AcceptAll → ConsentSaved,
Brute Force,BannerToast,OutcomeTelemetry,,,,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,3,3,0,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry,BannerToast → AcceptAll → AnalyticsSvc → OutcomeTelemetry
Brute Force,Home,Out_BasicAccess,,,,,,,,,,
Brute Force,Home,Out_SecuredLogin,,,,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin,2,2,0,Home → ContactUs → Out_SecuredLogin,Home → ContactUs → Out_SecuredLogin
Brute Force,Home,Out_AllMedia,,,,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,3,3,0,Home → SearchBooks → ExtMediaSvc → Out_AllMedia,Home → SearchBooks → ExtMediaSvc → Out_AllMedia
Brute Force,Home,Out_Payments,,,,Home → Membership → Out_Payments,Home → Membership → Out_Payments,2,2,0,Home → Membership → Out_Payments,Home → Membership → Out_Payments
Brute Force,Home,Out_Personalized,,,,Home → Out_Personalized,Home → Out_Personalized,1,1,0,Home → Out_Personalized,Home → Out_Personalized
Brute Force,Home,Out_AllContent,,,,Home → PersonalSvc → Out_AllContent,Home → PersonalSvc → Out_AllContent,2,2,0,Home → PersonalSvc → Out_AllContent,Home → PersonalSvc → Out_AllContent
Brute Force,Home,ConsentSaved,3,,,Home → Manage → Modal → Save → ConsentSaved,,4,,,Home → Manage → Modal → Save → ConsentSaved,
Brute Force,Home,OutcomeTelemetry,,,,Home → AnalyticsSvc → OutcomeTelemetry,Home → AnalyticsSvc → OutcomeTelemetry,2,2,0,Home → AnalyticsSvc → OutcomeTelemetry,Home → AnalyticsSvc → OutcomeTelemetry
Brute Force,Discover,Out_BasicAccess,,,,,,,,,,
Brute Force,Discover,Out_SecuredLogin,,,,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Discover → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,Discover,Out_AllMedia,,,,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,5,5,0,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Discover → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,Discover,Out_Payments,,,,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Discover → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,Discover,Out_Personalized,,,,Discover → Out_Personalized,Discover → Out_Personalized,1,1,0,Discover → Out_Personalized,Discover → Out_Personalized
Brute Force,Discover,Out_AllContent,,,,Discover → PersonalSvc → Out_AllContent,Discover → PersonalSvc → Out_AllContent,2,2,0,Discover → PersonalSvc → Out_AllContent,Discover → PersonalSvc → Out_AllContent
Brute Force,Discover,ConsentSaved,3,,,Discover → Manage → Modal → Save → ConsentSaved,,4,,,Discover → Manage → Modal → Save → ConsentSaved,
Brute Force,Discover,OutcomeTelemetry,,,,Discover → AnalyticsSvc → OutcomeTelemetry,Discover → AnalyticsSvc → OutcomeTelemetry,2,2,0,Discover → AnalyticsSvc → OutcomeTelemetry,Discover → AnalyticsSvc → OutcomeTelemetry
Brute Force,SearchBooks,Out_BasicAccess,,,,,,,,,,
Brute Force,SearchBooks,Out_SecuredLogin,,,,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,SearchBooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,SearchBooks,Out_AllMedia,,,,SearchBooks → ExtMediaSvc → Out_AllMedia,SearchBooks → ExtMediaSvc → Out_AllMedia,2,2,0,SearchBooks → ExtMediaSvc → Out_AllMedia,SearchBooks → ExtMediaSvc → Out_AllMedia
Brute Force,SearchBooks,Out_Payments,,,,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,SearchBooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,SearchBooks,Out_Personalized,,,,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,SearchBooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,SearchBooks,Out_AllContent,,,,SearchBooks → ExtMediaSvc → Out_AllContent,SearchBooks → ExtMediaSvc → Out_AllContent,2,2,0,SearchBooks → ExtMediaSvc → Out_AllContent,SearchBooks → ExtMediaSvc → Out_AllContent
Brute Force,SearchBooks,ConsentSaved,3,,,SearchBooks → Manage → Modal → Save → ConsentSaved,,4,,,SearchBooks → Manage → Modal → Save → ConsentSaved,
Brute Force,SearchBooks,OutcomeTelemetry,,,,SearchBooks → AnalyticsSvc → OutcomeTelemetry,SearchBooks → AnalyticsSvc → OutcomeTelemetry,2,2,0,SearchBooks → AnalyticsSvc → OutcomeTelemetry,SearchBooks → AnalyticsSvc → OutcomeTelemetry
Brute Force,Audiobooks,Out_BasicAccess,,,,,,,,,,
Brute Force,Audiobooks,Out_SecuredLogin,,,,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Audiobooks → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,Audiobooks,Out_AllMedia,,,,Audiobooks → ExtMediaSvc → Out_AllMedia,Audiobooks → ExtMediaSvc → Out_AllMedia,2,2,0,Audiobooks → ExtMediaSvc → Out_AllMedia,Audiobooks → ExtMediaSvc → Out_AllMedia
Brute Force,Audiobooks,Out_Payments,,,,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Audiobooks → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,Audiobooks,Out_Personalized,,,,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Audiobooks → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,Audiobooks,Out_AllContent,,,,Audiobooks → ExtMediaSvc → Out_AllContent,Audiobooks → ExtMediaSvc → Out_AllContent,2,2,0,Audiobooks → ExtMediaSvc → Out_AllContent,Audiobooks → ExtMediaSvc → Out_AllContent
Brute Force,Audiobooks,ConsentSaved,3,,,Audiobooks → Manage → Modal → Save → ConsentSaved,,4,,,Audiobooks → Manage → Modal → Save → ConsentSaved,
Brute Force,Audiobooks,OutcomeTelemetry,,,,Audiobooks → AnalyticsSvc → OutcomeTelemetry,Audiobooks → AnalyticsSvc → OutcomeTelemetry,2,2,0,Audiobooks → AnalyticsSvc → OutcomeTelemetry,Audiobooks → AnalyticsSvc → OutcomeTelemetry
Brute Force,DigitalMag,Out_BasicAccess,,,,,,,,,,
Brute Force,DigitalMag,Out_SecuredLogin,,,,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,DigitalMag → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,DigitalMag,Out_AllMedia,,,,DigitalMag → ExtMediaSvc → Out_AllMedia,DigitalMag → ExtMediaSvc → Out_AllMedia,2,2,0,DigitalMag → ExtMediaSvc → Out_AllMedia,DigitalMag → ExtMediaSvc → Out_AllMedia
Brute Force,DigitalMag,Out_Payments,,,,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,DigitalMag → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,DigitalMag,Out_Personalized,,,,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,DigitalMag → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,DigitalMag,Out_AllContent,,,,DigitalMag → ExtMediaSvc → Out_AllContent,DigitalMag → ExtMediaSvc → Out_AllContent,2,2,0,DigitalMag → ExtMediaSvc → Out_AllContent,DigitalMag → ExtMediaSvc → Out_AllContent
Brute Force,DigitalMag,ConsentSaved,3,,,DigitalMag → Manage → Modal → Save → ConsentSaved,,4,,,DigitalMag → Manage → Modal → Save → ConsentSaved,
Brute Force,DigitalMag,OutcomeTelemetry,,,,DigitalMag → AnalyticsSvc → OutcomeTelemetry,DigitalMag → AnalyticsSvc → OutcomeTelemetry,2,2,0,DigitalMag → AnalyticsSvc → OutcomeTelemetry,DigitalMag → AnalyticsSvc → OutcomeTelemetry
Brute Force,Membership,Out_BasicAccess,,,,,,,,,,
Brute Force,Membership,Out_SecuredLogin,,,,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,5,5,0,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Membership → Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,Membership,Out_AllMedia,,,,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,5,5,0,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Membership → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,Membership,Out_Payments,,,,Membership → Out_Payments,Membership → Out_Payments,1,1,0,Membership → Out_Payments,Membership → Out_Payments
Brute Force,Membership,Out_Personalized,,,,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Membership → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,Membership,Out_AllContent,,,,Membership → PaymentsSvc → Out_AllContent,Membership → PaymentsSvc → Out_AllContent,2,2,0,Membership → PaymentsSvc → Out_AllContent,Membership → PaymentsSvc → Out_AllContent
Brute Force,Membership,ConsentSaved,3,,,Membership → Manage → Modal → Save → ConsentSaved,,4,,,Membership → Manage → Modal → Save → ConsentSaved,
Brute Force,Membership,OutcomeTelemetry,,,,Membership → AnalyticsSvc → OutcomeTelemetry,Membership → AnalyticsSvc → OutcomeTelemetry,2,2,0,Membership → AnalyticsSvc → OutcomeTelemetry,Membership → AnalyticsSvc → OutcomeTelemetry
Brute Force,ContactUs,Out_BasicAccess,,,,,,,,,,
Brute Force,ContactUs,Out_SecuredLogin,,,,ContactUs → Out_SecuredLogin,ContactUs → Out_SecuredLogin,1,1,0,ContactUs → Out_SecuredLogin,ContactUs → Out_SecuredLogin
Brute Force,ContactUs,Out_AllMedia,,,,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,5,5,0,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,ContactUs → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,ContactUs,Out_Payments,,,,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,ContactUs → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,ContactUs,Out_Personalized,,,,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,ContactUs → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,ContactUs,Out_AllContent,,,,ContactUs → SupportSvc → Out_AllContent,ContactUs → SupportSvc → Out_AllContent,2,2,0,ContactUs → SupportSvc → Out_AllContent,ContactUs → SupportSvc → Out_AllContent
Brute Force,ContactUs,ConsentSaved,3,,,ContactUs → Manage → Modal → Save → ConsentSaved,,4,,,ContactUs → Manage → Modal → Save → ConsentSaved,
Brute Force,ContactUs,OutcomeTelemetry,,,,ContactUs → AnalyticsSvc → OutcomeTelemetry,ContactUs → AnalyticsSvc → OutcomeTelemetry,2,2,0,ContactUs → AnalyticsSvc → OutcomeTelemetry,ContactUs → AnalyticsSvc → OutcomeTelemetry
Brute Force,Login,Out_BasicAccess,,,,,,,,,,
Brute Force,Login,Out_SecuredLogin,,,,Login → Out_SecuredLogin,Login → Out_SecuredLogin,1,1,0,Login → Out_SecuredLogin,Login → Out_SecuredLogin
Brute Force,Login,Out_AllMedia,,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,5,5,0,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,Login,Out_Payments,,,,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,5,5,0,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Login → Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,Login,Out_Personalized,,,,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,5,5,0,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Login → Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,Login,Out_AllContent,,,,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,5,5,0,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Login → Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent
Brute Force,Login,ConsentSaved,3,,,Login → Manage → Modal → Save → ConsentSaved,,4,,,Login → Manage → Modal → Save → ConsentSaved,
Brute Force,Login,OutcomeTelemetry,,,,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,5,5,0,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Login → Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry
Brute Force,Manage,Out_BasicAccess,,,,,,,,,,
Brute Force,Manage,Out_SecuredLogin,,,,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,4,4,0,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Manage → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,Manage,Out_AllMedia,,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,4,4,0,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,Manage,Out_Payments,,,,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,4,4,0,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments,Manage → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,Manage,Out_Personalized,,,,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,4,4,0,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized,Manage → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,Manage,Out_AllContent,,,,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,4,4,0,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Manage → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent
Brute Force,Manage,ConsentSaved,2,,,Manage → Modal → Save → ConsentSaved,,3,,,Manage → Modal → Save → ConsentSaved,
Brute Force,Manage,OutcomeTelemetry,,,,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,4,4,0,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Manage → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry
Brute Force,Modal,Out_BasicAccess,,,,,,,,,,
Brute Force,Modal,Out_SecuredLogin,,,,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,3,3,0,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,Modal,Out_AllMedia,,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,3,3,0,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,Modal,Out_Payments,,,,Modal → AccPayments → PaymentsSvc → Out_Payments,Modal → AccPayments → PaymentsSvc → Out_Payments,3,3,0,Modal → AccPayments → PaymentsSvc → Out_Payments,Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,Modal,Out_Personalized,,,,Modal → AccPersonal → PersonalSvc → Out_Personalized,Modal → AccPersonal → PersonalSvc → Out_Personalized,3,3,0,Modal → AccPersonal → PersonalSvc → Out_Personalized,Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,Modal,Out_AllContent,,,,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,3,3,0,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,Modal → AccExtMedia → ExtMediaSvc → Out_AllContent
Brute Force,Modal,ConsentSaved,1,,,Modal → Save → ConsentSaved,,2,,,Modal → Save → ConsentSaved,
Brute Force,Modal,OutcomeTelemetry,,,,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,3,3,0,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry
Brute Force,LetMeChoose,Out_BasicAccess,,,,,,,,,,
Brute Force,LetMeChoose,Out_SecuredLogin,,,,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,4,4,0,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin,LetMeChoose → Modal → AccSecurity → SecuritySvc → Out_SecuredLogin
Brute Force,LetMeChoose,Out_AllMedia,,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,4,4,0,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllMedia
Brute Force,LetMeChoose,Out_Payments,,,,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments,4,4,0,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments,LetMeChoose → Modal → AccPayments → PaymentsSvc → Out_Payments
Brute Force,LetMeChoose,Out_Personalized,,,,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized,4,4,0,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized,LetMeChoose → Modal → AccPersonal → PersonalSvc → Out_Personalized
Brute Force,LetMeChoose,Out_AllContent,,,,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,4,4,0,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent,LetMeChoose → Modal → AccExtMedia → ExtMediaSvc → Out_AllContent
Brute Force,LetMeChoose,ConsentSaved,2,,,LetMeChoose → Modal → Save → ConsentSaved,,3,,,LetMeChoose → Modal → Save → ConsentSaved,
Brute Force,LetMeChoose,OutcomeTelemetry,,,,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,4,4,0,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry,LetMeChoose → Modal → AccAnalytics → AnalyticsSvc → OutcomeTelemetry
Brute Force,AcceptAll,Out_BasicAccess,,,,,,,,,,
Brute Force,AcceptAll,Out_SecuredLogin,,,,AcceptAll → SecuritySvc → Out_SecuredLogin,AcceptAll → SecuritySvc → Out_SecuredLogin,2,2,0,AcceptAll → SecuritySvc → Out_SecuredLogin,AcceptAll → SecuritySvc → Out_SecuredLogin
Brute Force,AcceptAll,Out_AllMedia,,,,AcceptAll → ExtMediaSvc → Out_AllMedia,AcceptAll → ExtMediaSvc → Out_AllMedia,2,2,0,AcceptAll → ExtMediaSvc → Out_AllMedia,AcceptAll → ExtMediaSvc → Out_AllMedia
Brute Force,AcceptAll,Out_Payments,,,,AcceptAll → PaymentsSvc → Out_Payments,AcceptAll → PaymentsSvc → Out_Payments,2,2,0,AcceptAll → PaymentsSvc → Out_Payments,AcceptAll → PaymentsSvc → Out_Payments
Brute Force,AcceptAll,Out_Personalized,,,,AcceptAll → PersonalSvc → Out_Personalized,AcceptAll → PersonalSvc → Out_Personalized,2,2,0,AcceptAll → PersonalSvc → Out_Personalized,AcceptAll → PersonalSvc → Out_Personalized
